state,less_than_bachelors,at_least_bachelors,advanced_degree,bachelors_degree,associates_or_some_college,hs_or_less
Alabama,0.754755256685437,0.24524474331456309,0.09144986155011983,0.15379488176444323,0.2989189830915051,0.4558362735939318
Alaska,0.7101202670357267,0.2898797329642732,0.10414098880620559,0.18573874415806765,0.3578796151791386,0.3522406518565882
Arizona,0.7155431310788444,0.2844568689211556,0.10677664173775374,0.17768022718340187,0.33889962191456263,0.37664350916428174
Arkansas,0.7797186985401129,0.22028130145988709,0.07893713773498441,0.1413441637249027,0.29245028376901655,0.48726841477109634
California,0.6742402879169358,0.3257597120830642,0.12183612092690103,0.20392359115616318,0.2931705274184421,0.3810697604984937
Colorado,0.6057020392931454,0.39429796070685463,0.14629477028205437,0.24800319042480026,0.30129724133475555,0.3044047979583898
Connecticut,0.6156915885476618,0.3843084114523382,0.1697957946165318,0.21451261683580636,0.24634791720507665,0.36934367134258517
Delaware,0.690319857568223,0.309680142431777,0.12937194953494796,0.18030819289682906,0.27165177886238756,0.4186680787058354
District of Columbia,0.4340756273504059,0.5659243726495942,0.327708054737644,0.23821631791195017,0.16073061654141632,0.27334501080898954
Florida,0.7154876894840576,0.28451231051594233,0.10276932600892494,0.1817429845070174,0.3016374056634639,0.41385028382059375
Georgia,0.7006897101896583,0.29931028981034163,0.11376692492454987,0.18554336488579176,0.2828615503301102,0.4178281598595482
Hawaii,0.679626544213264,0.32037345578673604,0.10794558680104031,0.2124278689856957,0.31833956436931077,0.3612869798439532
Idaho,0.7323406360384225,0.26765936396157747,0.08526883648279895,0.18239052747877854,0.36052784486812794,0.37181279117029453
Illinois,0.6655253200438168,0.3344746799561832,0.1295000887944825,0.2049745911617007,0.28785186472451957,0.37767345531929725
Indiana,0.7468084663267766,0.2531915336732235,0.09188042159072159,0.1613111120825019,0.2923657914918831,0.4544426748348934
Iowa,0.7231872311904654,0.27681276880953465,0.08968554785160311,0.18712722095793152,0.32646135187440095,0.3967258793160644
Kansas,0.6765077983676615,0.3234922016323385,0.11731286912194096,0.20617933251039755,0.3192451958164899,0.3572626025511716
Kentucky,0.7680770772476985,0.2319229227523015,0.0956573892094934,0.1362655335428081,0.28914717337993884,0.47892990386775963
Louisiana,0.7660298007580038,0.23397019924199622,0.08070259751642024,0.153267601725576,0.2705330961243103,0.4954967046336935
Maine,0.6971894294579257,0.3028105705420743,0.109454304817675,0.19335626572439926,0.2951941865764354,0.4019952428814903
Maryland,0.6100536036901647,0.38994639630983535,0.17988331863808096,0.21006307767175436,0.25714192927868085,0.35291167441148386
Massachusetts,0.579125496968471,0.4208745030315289,0.18681595126436937,0.23405855176715953,0.23476119167047696,0.3443643052979941
Michigan,0.7191891573357746,0.2808108426642254,0.11000030952509922,0.17081053313912617,0.32889095371230714,0.39029820362346745
Minnesota,0.6523689336925679,0.3476310663074321,0.11796636840105931,0.2296646979063728,0.3263284400469907,0.3260404936455772
Mississippi,0.7866582553763839,0.21334174462361605,0.08042785111811711,0.13291389350549895,0.3166324233769115,0.4700258319994724
Missouri,0.7181341243824401,0.28186587561756,0.1067045606699561,0.1751613149476039,0.30076369277761206,0.41737043160482795
Montana,0.6927089622527592,0.3072910377472408,0.10117499314551816,0.20611604460172264,0.32936175895237946,0.36334720330037973
Nebraska,0.6940840075147385,0.30591599248526147,0.10233887321067041,0.20357711927459107,0.3361791866381595,0.357904820876579
Nevada,0.7631526664068459,0.23684733359315416,0.08105088202729338,0.15579645156586078,0.33852907206877153,0.4246235943380743
New Hampshire,0.6396291104249093,0.36037088957509067,0.1376668359108477,0.22270405366424295,0.2881877141497715,0.3514413962751378
New Jersey,0.6190865258021198,0.3809134741978802,0.14729223474410416,0.23362123945377605,0.23143310534794123,0.38765342045417855
New Mexico,0.7312637971092116,0.2687362028907884,0.11761759660690634,0.15111860628388207,0.31689743274248533,0.41436636436672625
New York,0.6471063316967538,0.35289366830324614,0.1538580914205008,0.19903557688274537,0.2454664288183811,0.4016399028783727
North Carolina,0.7014001080181036,0.29859989198189635,0.1064426430945064,0.19215724888738994,0.30909215264986334,0.3923079553682403
North Dakota,0.7110754083503265,0.28892459164967355,0.07780386825681271,0.2111207233928608,0.3627366166141424,0.34833879173618404
Ohio,0.7276133187122455,0.2723866812877544,0.10235898151024005,0.17002769977751436,0.28996304583457466,0.43765027287767094
Oklahoma,0.7515696177150627,0.2484303822849373,0.08281848201362216,0.16561190027131517,0.31201086513819526,0.4395587525768674
Oregon,0.6772901474756724,0.3227098525243276,0.12203028428283105,0.20067956824149655,0.34504225053101323,0.33224789694465917
Pennsylvania,0.6991634999644946,0.3008365000355055,0.11833125833548748,0.182505241700018,0.24217616275935738,0.4569873372051371
Puerto Rico,0.7508067413671877,0.24919325863281233,0.0708798887062901,0.17831336992652222,0.22169942918473426,0.5291073121824534
Rhode Island,0.6703567035670357,0.3296432964329643,0.13147693349843198,0.19816636293453235,0.2648557923706327,0.4055009111964029
South Carolina,0.7299492633060911,0.27005073669390883,0.09832267911875177,0.17172805757515708,0.30115549039106015,0.428793772915031
South Dakota,0.7215258515353948,0.2784741484646052,0.0832065357961488,0.1952676126684564,0.33097278832689686,0.390553063208498
Tennessee,0.7394694592995344,0.26053054070046555,0.0956045060232893,0.16492603467717626,0.2783974366131139,0.4610720226864205
Texas,0.7129442374833073,0.28705576251669274,0.09863501136187137,0.18842075115482138,0.29022441350279476,0.42271982398051244
Utah,0.6746289635073347,0.3253710364926653,0.11006545846743426,0.21530557802523106,0.36410110780280996,0.31052785570452474
Vermont,0.6320118748572734,0.36798812514272666,0.1496962776889701,0.21829184745375657,0.2588810230646266,0.3731308517926467
Virginia,0.624434913255521,0.37556508674447897,0.16064350488006457,0.2149215818644144,0.27189876715547995,0.3525361461000411
Washington,0.6553657996080517,0.3446342003919482,0.12722651195707566,0.21740768843487257,0.3386900269706937,0.316675772637358
West Virginia,0.8010141729118435,0.19898582708815651,0.07884421391936862,0.1201416131687879,0.2546718045243552,0.5463423683874883
Wisconsin,0.7096892484190658,0.2903107515809342,0.09879380195996945,0.19151694962096474,0.31392087037874866,0.39576837804031717
Wyoming,0.7325026954559374,0.2674973045440627,0.09303761801465196,0.1744596865294107,0.3729610387605277,0.3595416566954096
